distance_kms,trip_time_minutes,total_time_minutes,speed_kmh,trip_type_uberblack,trip_type_uberx,surge_multiplier,trip_type_uberelka,trip_start_time_year,weather_partly_cloudy_night,trip_start_time_hour,temperature_time_hour,feels_like,cloudness,temp_hour_interaction,temperature_value,rub_usd_exchange_rate,temperature_time_month,trip_start_time_month,dropoff_long,pickup_long,vehicle_make,vehicle_model,weather_desc,ride_hailing_app_Uber,trip_type_Comfort,trip_type_EconomyFix,trip_type_uberBEAUTY,trip_type_uberBLACK,trip_type_uberELKA,trip_type_uberSELECT,trip_type_uberX,city_Moscow,city_Saint Petersburg,weather_main_clear-night,weather_main_cloudy,weather_main_fog,weather_main_partly-cloudy-day,weather_main_partly-cloudy-night,weather_main_rain,weather_main_snow,weather_main_wind,precipitation_rain,precipitation_snow,trip_start_time_timeofday_evening,trip_start_time_timeofday_morning,trip_start_time_timeofday_night,temperature_time_timeofday_evening,temperature_time_timeofday_morning,temperature_time_timeofday_night
1.79,12.65,37.0,6.852631578947369,0,1,1.0,0,2015,0,15,15,30.0,0.0,342.0,28.0,55.17,6,6,37.635031,37.6350862,0.17404129793510326,0.15339233038348082,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.4,16.3,34.0,14.823529411764707,0,1,1.0,0,2015,0,7,7,18.0,0.0,51.0,17.0,56.05,6,6,37.635031,37.6350862,0.10766961651917405,0.06342182890855458,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4.33,11.45,25.0,10.392,0,1,1.0,0,2015,0,15,15,25.0,0.0,342.0,25.0,56.3,6,6,37.635031,37.6350862,0.07227138643067847,0.048672566371681415,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4.75,16.65,30.0,9.5,0,1,1.0,0,2015,0,13,13,21.0,1.0,273.0,21.0,56.3,6,6,37.635031,37.6350862,0.10766961651917405,0.06342182890855458,0.25073746312684364,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.61,16.466666666666665,27.0,32.46666666666666,0,1,1.0,0,2015,0,20,20,11.0,1.0,220.0,11.0,56.28,6,6,37.635031,37.6350862,0.17404129793510326,0.15339233038348082,0.25073746312684364,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
5.05,14.216666666666667,17.0,17.823529411764707,0,1,1.0,0,2015,0,16,16,19.0,0.39,304.0,19.0,55.23,6,6,30.3032982,30.3390492,0.17404129793510326,0.15339233038348082,0.1902654867256637,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.81,21.2,36.0,21.35,0,0,1.0,0,2015,0,16,16,19.0,0.49,304.0,19.0,55.23,6,6,30.4340483,30.3105366,0.06342182890855458,0.028023598820058997,0.1902654867256637,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.79,5.7,46.0,6.852631578947369,0,0,1.0,0,2015,0,7,7,17.0,0.32,85.0,17.0,55.17,6,6,30.2742717,30.2808294,0.02654867256637168,0.4616519174041298,0.1902654867256637,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
29.08,45.666666666666664,54.0,32.31111111111111,0,1,1.0,0,2015,0,9,9,20.0,0.58,180.0,20.0,55.17,6,6,30.4278911,30.3567147,0.10766961651917405,0.4616519174041298,0.1902654867256637,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
24.0,30.733333333333334,40.0,36.0,0,1,1.0,0,2015,0,11,11,21.0,0.75,231.0,21.0,55.17,6,6,30.6349186,30.4094573,0.028023598820058997,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
