Масштабирование,Модель,Test R²,Test RMSE,Test MAE,Train R²,Train RMSE,Train MAE,Train Time,Train MAPE,Test MAPE
No Scaling,XGBoost,0.8116933600117718,109.60266112492295,60.89649042690501,0.9999410853585302,1.909368899103533,1.3864125241212741,0.13610506057739258,0.6541964649936676,18.182690727945758
StandardScaler,XGBoost,0.8116933600117718,109.60266112492295,60.89649042690501,0.9999410853585302,1.909368899103533,1.3864125241212741,0.19522500038146973,0.6541964649936676,18.182690727945758
MinMaxScaler,XGBoost,0.8116933600117718,109.60266112492295,60.89649042690501,0.9999410853585302,1.909368899103533,1.3864125241212741,0.13700079917907715,0.6541964649936676,18.182690727945758
StandardScaler,Ridge Regression,0.8070699468051282,110.94001589418579,72.07019464138833,0.829811437398461,102.62269364434952,59.214513325315586,0.010998010635375977,19.84300062690212,23.76163247449546
MinMaxScaler,Lasso Regression,0.8067301627726268,111.03766543805533,72.0478635367323,0.829930498232451,102.58679087572182,59.22008460988258,0.04365873336791992,19.820986119060173,23.79478999429617
No Scaling,Lasso Regression,0.8061772158911191,111.19639190930265,72.23268805141258,0.8300102648963095,102.56273022489815,59.24493868030987,0.08165597915649414,19.854690230948222,23.885128874672024
StandardScaler,Lasso Regression,0.806149493956852,111.2043436804686,72.1587612576274,0.8300316783746584,102.5562701466755,59.30526444318049,0.18647432327270508,19.902906609827827,23.823587688835506
MinMaxScaler,Linear Regression,0.8058099309644087,111.30169797362397,72.21238534674966,0.8300392716113364,102.55397929999845,59.36008119222224,0.004010677337646484,19.94658814431936,23.82754246154607
StandardScaler,Linear Regression,0.8058099309644086,111.30169797362399,72.21238534674964,0.8300392716113364,102.55397929999846,59.36008119222226,0.04104161262512207,19.946588144319364,23.82754246154606
No Scaling,Linear Regression,0.8058099309644069,111.30169797362447,72.21238534675122,0.8300392716113345,102.553979299999,59.360081192223404,0.003000020980834961,19.946588144320124,23.82754246154658
MinMaxScaler,Ridge Regression,0.8036609124089714,111.915867637757,72.07191717766186,0.8152163710728833,106.93256161136306,60.25982795383649,0.0019998550415039062,20.30506204212868,23.1964482491734
No Scaling,Ridge Regression,0.7986784135833094,113.32701604435816,72.85219625339536,0.8188459637143737,105.87714749873635,59.82855842119778,0.004008293151855469,19.641547225590287,23.52151833110933
No Scaling,Gradient Boosting,0.7904328627767039,115.62450117674267,58.27904814616731,0.9976172125852999,12.142856801813663,9.228822342704493,0.47341012954711914,4.100566523619598,16.022557304838333
MinMaxScaler,Gradient Boosting,0.7898245987628361,115.79217838287161,58.31678921011256,0.9976172125852999,12.142856801813663,9.228822342704493,0.4388313293457031,4.100566523619598,16.01527396985004
StandardScaler,Gradient Boosting,0.7896280736375805,115.84630164177567,58.5154765437849,0.9976172125852999,12.142856801813663,9.228822342704493,0.4768979549407959,4.100566523619598,16.073016167757796
MinMaxScaler,Random Forest,0.7857959697482493,116.89665948428438,64.09981124754661,0.9610160413146411,49.11579677871163,24.614485136909188,0.3835282325744629,8.328185925812729,18.21504085572288
No Scaling,Random Forest,0.7855196624653717,116.97202918922908,64.17630022695587,0.961048602504311,49.09528061111566,24.614078659826273,0.35265398025512695,8.333262871529909,18.241211880965054
StandardScaler,Random Forest,0.7851875578745018,117.06255478745999,64.14580413913366,0.9611025715165267,49.0612568995066,24.581787429778675,0.46876096725463867,8.332523209546713,18.218581982421718
No Scaling,LightGBM,0.7605180598396919,123.60176309158838,70.36030844137989,0.9049210900890046,76.70440786014406,40.990631714776285,0.028048276901245117,13.59342905012342,22.740838410543283
StandardScaler,LightGBM,0.7545328434763026,125.13678059081768,73.47056933782484,0.9053473227215136,76.53228427739913,40.561848432417285,0.3814084529876709,13.614828139328806,24.2291682640852
MinMaxScaler,LightGBM,0.7477009710740541,126.8662407518826,72.31143958623045,0.9050987339511753,76.63271773505217,41.26065143110916,0.03002476692199707,13.77826668693396,23.068872265911438
MinMaxScaler,Decision Tree,0.7099961767588593,136.01604529255857,69.01430745867398,0.9935215304857496,20.022321676715016,13.000881659455132,0.012509822845458984,6.48843945985932,19.335895775027424
No Scaling,Decision Tree,0.7099961767588593,136.01604529255857,69.01430745867398,0.9935215304857496,20.022321676715016,13.000881659455132,0.009996652603149414,6.48843945985932,19.335895775027424
StandardScaler,Decision Tree,0.7066565624371037,136.79696754190618,69.29862118416418,0.9935215304857496,20.022321676715016,13.000881659455132,0.019538164138793945,6.48843945985932,19.364327147576446
